area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Дау,,,Новостройка,,,,,Монолитный,Подземная,,,2027.0,Не сдан,,785451.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/292485443/,,,
,,10.0,Вторичка / Апартаменты,31.0,4 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,134.2,19.7,,,,1764291.0,свободная продажа,https://www.cian.ru/sale/flat/304832895/,возможна,,
Фили-Давыдково,Рублевское ш.,7.0,Вторичка,28.0,,,Евроремонт,Кирпичный,,,60.0,,,,326316.0,свободная продажа,https://www.cian.ru/sale/flat/308428641/,возможна,,
Пресненский,Лайф Тайм жилой комплекс,12.0,Новостройка,343.0,"3 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитный,Подземная,87.8,49.5,2026.0,Не сдан,Без отделки,1217964.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306155502/,возможна,7.6,
Хамовники,ул. Ефремова,,Вторичка,35.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,90.0,25.0,,,,2272727.0,свободная продажа,https://www.cian.ru/sale/flat/306930809/,,,
Западное,Дмитровское ш.,7.0,Вторичка / Апартаменты,,"3 совмещенных, 2 раздельных",Во двор,Евроремонт,Монолитный,,172.0,,,,,314669.0,свободная продажа,https://www.cian.ru/sale/flat/299552983/,,,
Даниловский,Г микрорайон,16.0,Новостройка,305.0,4 совмещенных,На улицу и двор,Без отделки,Монолитный,,,14.4,2024.0,Не сдан,"Без отделки, предчистовая",556700.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/304077188/,возможна,6.3,
Якиманка,ул. Большая Якиманка,4.0,Вторичка / Апартаменты,34.0,3 совмещенных,На улицу,Дизайнерский,Монолитный,Подземная,104.2,25.0,,,,1600000.0,свободная продажа,https://www.cian.ru/sale/flat/306320264/,возможна,,
Раменки,Минская ул.,11.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Косметический,Кирпичный,Подземная,,14.0,,,,538462.0,свободная продажа,https://www.cian.ru/sale/flat/308387974/,,,
Пресненский,Лайф Тайм жилой комплекс,15.0,Новостройка,343.0,"4 совмещенных, 1 раздельный",,Без отделки,Монолитный,Подземная,67.2,54.6,2026.0,Не сдан,Без отделки,1101322.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306154985/,возможна,7.6,
Хамовники,Трубецкая ул.,6.0,Вторичка,,4 совмещенных,,Дизайнерский,Кирпичный,Многоуровневая,,23.9,,,,1776131.0,свободная продажа,https://www.cian.ru/sale/flat/307201695/,,,
Хорошево-Мневники,Карамышевская наб.,2025.0,Вторичка,31.0,2 раздельных,,Без ремонта,Монолитный,Подземная,120.0,45.0,,,,297030.0,свободная продажа,https://www.cian.ru/sale/flat/302728974/,,,
Пресненский,,1.0,Новостройка / Апартаменты,,,,Предчистовая,Монолитно-кирпичный,,,,2024.0,Сдан,Предчистовая,981736.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/305452922/,возможна,,
Тверской,ул. Малая Дмитровка,8.0,Вторичка,3.0,1 совмещенный,На улицу и двор,Дизайнерский,Кирпичный,,,16.7,,,,598958.0,свободная продажа,https://www.cian.ru/sale/flat/297256666/,,,
Савеловский,2-я Квесисская ул.,14.0,Вторичка,3.0,3 совмещенных,Во двор,Дизайнерский,Кирпичный,,100.0,12.5,,,,800663.0,свободная продажа,https://www.cian.ru/sale/flat/302452563/,возможна,,
Пресненский,,1.0,Новостройка / Апартаменты,,,,Предчистовая,Монолитно-кирпичный,,,,2024.0,Сдан,Предчистовая,1213031.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/305452831/,возможна,,
Арбат,Большой Афанасьевский пер.,7.0,Вторичка,,3 совмещенных,На улицу,Дизайнерский,,Подземная,,12.0,,,,1861111.0,свободная продажа,https://www.cian.ru/sale/flat/308341841/,возможна,,
,,8.0,Вторичка,34.0,,На улицу и двор,Без ремонта,Монолитно-кирпичный,Подземная,,25.0,,,,877660.0,свободная продажа,https://www.cian.ru/sale/flat/305516233/,возможна,,
Якиманка,Лаврушинский жилой комплекс,2.0,Новостройка,335.0,"3 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитный,Подземная,75.6,54.8,2024.0,Не сдан,Без отделки,3167687.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/293713760/,возможна,8.7,
Хамовники,ул. Ефремова,3.0,Вторичка,,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Многоуровневая,,,,,,1969996.0,свободная продажа,https://www.cian.ru/sale/flat/307857238/,,,
Красносельский,ул. Сретенка,3.0,Вторичка / Пентхаус,,1 раздельный,На улицу и двор,Дизайнерский,,,,29.3,,,,673087.0,свободная продажа,https://www.cian.ru/sale/flat/308234765/,возможна,,
Даниловский,Г микрорайон,16.0,Новостройка,305.0,4 совмещенных,На улицу и двор,Без отделки,Монолитный,,,14.4,2024.0,Не сдан,"Без отделки, предчистовая",550200.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/304077144/,возможна,6.3,
Хамовники,Трубецкая ул.,6.0,Вторичка,,4 совмещенных,,Дизайнерский,Кирпичный,Многоуровневая,,23.9,,,,1729116.0,свободная продажа,https://www.cian.ru/sale/flat/304330269/,,,
Раменки,Минская ул.,10.0,Вторичка,,3 раздельных,На улицу и двор,Евроремонт,Кирпичный,Подземная,,12.0,,,,534615.0,свободная продажа,https://www.cian.ru/sale/flat/308368569/,возможна,,
Щукино,ул. Маршала Рыбалко,4.0,Новостройка,,,,,Монолитно-кирпичный,Подземная,,,2011.0,Сдан,,352608.0,свободная продажа,https://www.cian.ru/sale/flat/302896331/,,,
Якиманка,ул. Большая Полянка,4.0,Вторичка / Пентхаус,,"2 совмещенных, 1 раздельный",,Евроремонт,Монолитный,,280.0,,,,,856082.0,свободная продажа,https://www.cian.ru/sale/flat/286396662/,,,
Пресненский,1-й Красногвардейский проезд,4.0,Вторичка / Апартаменты,3.0,1 совмещенный,На улицу,Дизайнерский,Монолитный,,,20.0,,,,595238.0,свободная продажа,https://www.cian.ru/sale/flat/303739333/,возможна,,
Щукино,ул. Маршала Рыбалко,4.0,Новостройка,,,,,Монолитно-кирпичный,Подземная,,,2011.0,Сдан,,380457.0,свободная продажа,https://www.cian.ru/sale/flat/302896326/,,,
Арбат,Поварская ул.,4.0,Вторичка / Пентхаус,35.0,2 раздельных,,Без ремонта,Кирпичный,Подземная,,,,,,1061985.0,свободная продажа,https://www.cian.ru/sale/flat/287282995/,,,
Солнцево,Воскресенская ул.,18.0,Вторичка,35.0,2 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,189.2,25.1,,,,306859.0,свободная продажа,https://www.cian.ru/sale/flat/308306256/,возможна,,
Щукино,ул. Маршала Рыбалко,4.0,Новостройка / Апартаменты,,3 раздельных,,,Монолитно-кирпичный,Подземная,,,2011.0,Сдан,,337634.0,свободная продажа,https://www.cian.ru/sale/flat/302896302/,,,
Пресненский,Средний Тишинский пер.,13.0,Вторичка,32.0,2 совмещенных,На улицу и двор,Без ремонта,,Подземная,,,,,,1226564.0,свободная продажа,https://www.cian.ru/sale/flat/300155192/,возможна,,
Таганский,Наставнический пер.,7.0,Вторичка,33.0,2 совмещенных,На улицу и двор,Дизайнерский,,Подземная,110.0,33.0,,,,653846.0,свободная продажа,https://www.cian.ru/sale/flat/303228900/,возможна,,
Хамовники,Погодинская ул.,16.0,Вторичка,,4 совмещенных,,Дизайнерский,Монолитный,,133.0,20.0,,,,1488095.0,свободная продажа,https://www.cian.ru/sale/flat/306174376/,,,
Раменки,Минская ул.,13.0,Вторичка,,3 совмещенных,На улицу и двор,Без ремонта,Монолитный,Подземная,,,,,,798005.0,свободная продажа,https://www.cian.ru/sale/flat/270731248/,возможна,,
Хамовники,7-й Ростовский пер.,7.0,Вторичка,3.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,,15.0,,,,936639.0,свободная продажа,https://www.cian.ru/sale/flat/306318054/,возможна,,
Арбат,Филипповский пер.,6.0,Вторичка,31.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Кирпичный,Подземная,,,,,,921053.0,свободная продажа,https://www.cian.ru/sale/flat/300875900/,возможна,,
Аэропорт,Ленинградский просп.,7.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,,,,,,,281150.0,свободная продажа,https://www.cian.ru/sale/flat/302598834/,возможна,,
Щукино,Авиационная ул.,14.0,Вторичка,3.0,2 совмещенных,На улицу,Евроремонт,Монолитный,Подземная,106.1,53.7,,,,399598.0,свободная продажа,https://www.cian.ru/sale/flat/287677697/,возможна,,
Таганский,2-й Сыромятнический пер.,10.0,Вторичка,305.0,2 раздельных,На улицу,Дизайнерский,Монолитный,,202.0,40.4,,,,363997.0,свободная продажа,https://www.cian.ru/sale/flat/303999325/,возможна,,
Хорошевский,ул. Гризодубовой,9.0,Вторичка,3.0,2 совмещенных,Во двор,Дизайнерский,Монолитный,Подземная,,19.7,,,,533084.0,свободная продажа,https://www.cian.ru/sale/flat/303749696/,возможна,,
Ломоносовский,ул. Вавилова,14.0,Вторичка,3.0,"1 совмещенный, 2 раздельных",,Без ремонта,Кирпичный,Подземная,,30.0,,,,311111.0,свободная продажа,https://www.cian.ru/sale/flat/302957941/,возможна,,
Фили-Давыдково,Давыдковская ул.,9.0,Вторичка,3.0,2 совмещенных,Во двор,Дизайнерский,,Подземная,111.7,14.7,,,,494681.0,свободная продажа,https://www.cian.ru/sale/flat/307688634/,возможна,,
Якиманка,Софийская наб.,13.0,Вторичка,,"1 совмещенный, 1 раздельный",На улицу и двор,Без ремонта,Монолитный,Подземная,,,,,,1768116.0,свободная продажа,https://www.cian.ru/sale/flat/299645497/,возможна,,
,,10.0,Вторичка,,3 совмещенных,На улицу и двор,Без ремонта,Монолитный,Подземная,145.8,20.0,,,,600739.0,свободная продажа,https://www.cian.ru/sale/flat/307581435/,,,
Тверской,пер. Столешников,7.0,Вторичка,5.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Кирпичный,Наземная,,,,,,1583333.0,свободная продажа,https://www.cian.ru/sale/flat/297818911/,возможна,,
Таганский,Таганская ул.,7.0,Вторичка,3.0,"2 совмещенных, 2 раздельных",На улицу и двор,Без ремонта,,Подземная,,48.0,,,,543478.0,свободная продажа,https://www.cian.ru/sale/flat/190263864/,возможна,,
Аэропорт,Ленинградский просп.,,Вторичка / Апартаменты,3.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,151.0,25.0,,,,948718.0,свободная продажа,https://www.cian.ru/sale/flat/295206598/,возможна,,
Тропарево-Никулино,просп. Вернадского,16.0,Вторичка,3.0,3 раздельных,На улицу и двор,Косметический,,Многоуровневая,107.1,49.0,,,,524476.0,свободная продажа,https://www.cian.ru/sale/flat/307306501/,возможна,,
Басманный,Казарменный пер.,12.0,Вторичка,315.0,2 совмещенных,На улицу,Дизайнерский,Монолитно-кирпичный,Подземная,105.5,20.0,,,,1458333.0,свободная продажа,https://www.cian.ru/sale/flat/304102232/,возможна,,
Раменки,Минская ул.,10.0,Вторичка,31.0,2 раздельных,Во двор,Дизайнерский,Кирпичный,Подземная,103.4,,,,,729114.0,свободная продажа,https://www.cian.ru/sale/flat/300580214/,возможна,,
Гагаринский,Андреевская наб.,12.0,Вторичка,34.0,"4 совмещенных, 4 раздельных",На улицу,Без ремонта,Монолитный,,750.0,115.0,,,,399088.0,свободная продажа,https://www.cian.ru/sale/flat/303203039/,,,
Арбат,ул. Новый Арбат,6.0,Вторичка,32.0,1 раздельный,Во двор,Дизайнерский,Монолитный,,155.0,35.0,,,,1453159.0,свободная продажа,https://www.cian.ru/sale/flat/307923811/,возможна,,
Фили-Давыдково,Малая Филевская ул.,16.0,Вторичка / Пентхаус,35.0,3 совмещенных,Во двор,Без ремонта,Панельный,Подземная,,25.0,,,,433333.0,свободная продажа,https://www.cian.ru/sale/flat/307231244/,возможна,,
Арбат,Поварская ул.,9.0,Вторичка,,"2 совмещенных, 1 раздельный",Во двор,Евроремонт,Монолитный,Наземная,117.0,15.0,,,,807217.0,свободная продажа,https://www.cian.ru/sale/flat/302919078/,возможна,,
Фили-Давыдково,Малая Филевская ул.,16.0,Вторичка / Пентхаус,35.0,3 совмещенных,,Без ремонта,Панельный,Подземная,,25.0,,,,432797.0,свободная продажа,https://www.cian.ru/sale/flat/307231448/,возможна,,
Тверской,Краснопролетарская ул.,10.0,Вторичка,3.0,2 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,115.0,14.4,,,,642202.0,свободная продажа,https://www.cian.ru/sale/flat/307402601/,возможна,,
Тверской,Сущевская ул.,6.0,Вторичка,35.0,3 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,142.5,,,,,547264.0,свободная продажа,https://www.cian.ru/sale/flat/295284317/,возможна,,
Аэропорт,Ленинградский просп.,7.0,Вторичка / Апартаменты,315.0,"2 совмещенных, 2 раздельных",На улицу и двор,Дизайнерский,Монолитный,Подземная,,20.0,,,,844461.0,свободная продажа,https://www.cian.ru/sale/flat/305219566/,возможна,,
Проспект,Ленинский просп.,12.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",,Дизайнерский,Монолитно-кирпичный,Подземная,,,,,,335000.0,свободная продажа,https://www.cian.ru/sale/flat/298684212/,возможна,,
Раменки,Минская ул.,15.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,115.0,45.0,,,,722193.0,свободная продажа,https://www.cian.ru/sale/flat/300351688/,возможна,,
Хамовники,ул. Остоженка,6.0,Вторичка,3.0,2 совмещенных,На улицу и двор,Дизайнерский,Кирпичный,Подземная,,,,,,1250000.0,свободная продажа,https://www.cian.ru/sale/flat/293934154/,возможна,,
деревня,ул. Ясеневая,2025.0,Вторичка,3.0,2 совмещенных,,Дизайнерский,,,,30.0,,,,275362.0,свободная продажа,https://www.cian.ru/sale/flat/306531757/,,,
Пресненский,1-й Красногвардейский проезд,4.0,Вторичка / Апартаменты,3.0,"2 совмещенных, 1 раздельный",На улицу,Дизайнерский,Монолитный,Подземная,,,,,,1400000.0,свободная продажа,https://www.cian.ru/sale/flat/299294066/,возможна,,
Ломоносовский,ул. Вавилова,14.0,Вторичка,,2 совмещенных,Во двор,Евроремонт,Кирпичный,,90.0,30.0,,,,305556.0,свободная продажа,https://www.cian.ru/sale/flat/273448482/,,,
Пресненский,Звенигородское ш.,11.0,Вторичка,42.0,"3 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,,23.0,,,,1064516.0,свободная продажа,https://www.cian.ru/sale/flat/304488938/,возможна,,
Пресненский,Ермолаевский пер.,11.0,Вторичка,355.0,2 совмещенных,На улицу,Евроремонт,Кирпичный,Наземная,43.7,40.0,,,,424421.0,свободная продажа,https://www.cian.ru/sale/flat/294763356/,возможна,,
Пресненский,1-й Красногвардейский проезд,3.0,Вторичка / Апартаменты,5.0,,На улицу,Без ремонта,Монолитный,Подземная,,12.0,,,,1536557.0,свободная продажа,https://www.cian.ru/sale/flat/308077407/,возможна,,
Басманный,наб. Академика Туполева,17.0,Вторичка,,2 раздельных,На улицу и двор,Без ремонта,Кирпичный,Подземная,130.0,25.0,,,,367315.0,свободная продажа,https://www.cian.ru/sale/flat/300911754/,,,
Пресненский,1-й Красногвардейский проезд,3.0,Вторичка / Апартаменты,5.0,,На улицу,Без ремонта,Монолитный,Подземная,,12.0,,,,1532261.0,свободная продажа,https://www.cian.ru/sale/flat/308077246/,возможна,,
Тверской,Страстной бул.,2.0,Вторичка,,3 совмещенных,,Евроремонт,Кирпичный,,110.0,30.3,,,,983519.0,свободная продажа,https://www.cian.ru/sale/flat/300099418/,,,
Арбат,Поварская ул.,6.0,Вторичка / Апартаменты,34.0,3 совмещенных,На улицу и двор,Без ремонта,Монолитно-кирпичный,Подземная,,,,,,1154027.0,свободная продажа,https://www.cian.ru/sale/flat/292704771/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,2 совмещенных,На улицу и двор,Дизайнерский,,Подземная,130.0,20.0,,,,705619.0,,https://www.cian.ru/sale/flat/308350483/,возможна,,
Хамовники,7-й Ростовский пер.,7.0,Вторичка,,,,Евроремонт,Монолитный,,120.0,20.0,,,,936639.0,свободная продажа,https://www.cian.ru/sale/flat/307142590/,,,
Тверской,ул. Александра Невского,7.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",,Без ремонта,Кирпичный,Подземная,,45.0,,,,550000.0,свободная продажа,https://www.cian.ru/sale/flat/302638846/,возможна,,
,,7.0,Вторичка,32.0,2 совмещенных,На улицу и двор,Дизайнерский,,Подземная,,38.0,,,,525000.0,свободная продажа,https://www.cian.ru/sale/flat/266102754/,возможна,,
Тверской,Сущевская ул.,6.0,Вторичка,32.0,3 совмещенных,На улицу и двор,Евроремонт,Монолитный,Подземная,146.0,25.0,,,,578947.0,свободная продажа,https://www.cian.ru/sale/flat/293978901/,возможна,,
Коньково,ул. Островитянова,17.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,136.0,27.0,,,,511628.0,свободная продажа,https://www.cian.ru/sale/flat/304415786/,возможна,,
Тверской,Сущевская ул.,6.0,Вторичка,,3 совмещенных,,Дизайнерский,Монолитный,Подземная,110.0,25.0,,,,550000.0,свободная продажа,https://www.cian.ru/sale/flat/305505134/,,,
Тверской,Сущевская ул.,6.0,Вторичка / Пентхаус,35.0,3 совмещенных,,Дизайнерский,Монолитный,Подземная,,50.0,,,,550551.0,свободная продажа,https://www.cian.ru/sale/flat/303617317/,возможна,,
,,15.0,Вторичка,3.0,3 раздельных,,Дизайнерский,Монолитный,,,,,,,509259.0,свободная продажа,https://www.cian.ru/sale/flat/300439780/,,,
,,17.0,Вторичка,,"1 совмещенный, 2 раздельных",,Без ремонта,Монолитный,Подземная,120.0,20.0,,,,500000.0,свободная продажа,https://www.cian.ru/sale/flat/300013765/,,,
Мещанский,Слесарный пер.,6.0,Вторичка,33.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,144.4,36.0,,,,540909.0,свободная продажа,https://www.cian.ru/sale/flat/3184068/,возможна,,
,,10.0,Вторичка,32.0,"3 совмещенных, 3 раздельных",Во двор,Дизайнерский,Монолитный,Подземная,100.0,15.0,,,,639247.0,свободная продажа,https://www.cian.ru/sale/flat/305364477/,,,
Тверской,Краснопролетарская ул.,10.0,Вторичка,3.0,2 совмещенных,На улицу и двор,Евроремонт,Монолитный,Подземная,121.9,14.4,,,,642202.0,свободная продажа,https://www.cian.ru/sale/flat/307403005/,возможна,,
,,6.0,Вторичка,35.0,"2 совмещенных, 1 раздельный",На улицу и двор,Евроремонт,Монолитный,Подземная,,15.0,,,,595000.0,свободная продажа,https://www.cian.ru/sale/flat/302294638/,возможна,,
Тверской,Сущевская ул.,6.0,Вторичка,32.0,3 совмещенных,,Дизайнерский,Монолитный,Подземная,120.0,20.0,,,,639731.0,свободная продажа,https://www.cian.ru/sale/flat/296381577/,возможна,,
Ломоносовский,ул. Архитектора Власова,12.0,Вторичка,3.0,3 совмещенных,,Без ремонта,Монолитный,Подземная,,,,,,640000.0,свободная продажа,https://www.cian.ru/sale/flat/299158569/,возможна,,
Пресненский,1-й Красногвардейский проезд,3.0,Вторичка / Апартаменты,32.0,1 совмещенный,На улицу,Дизайнерский,Монолитный,,,,,,,618812.0,свободная продажа,https://www.cian.ru/sale/flat/302361346/,возможна,,
Ломоносовский,ул. Архитектора Власова,12.0,Вторичка,31.0,3 совмещенных,На улицу и двор,Косметический,Монолитный,,121.8,20.0,,,,612000.0,свободная продажа,https://www.cian.ru/sale/flat/296230324/,возможна,,
Гагаринский,Андреевская наб.,12.0,Вторичка,,3 раздельных,Во двор,Дизайнерский,Монолитно-кирпичный,Подземная,97.0,18.0,,,,694444.0,свободная продажа,https://www.cian.ru/sale/flat/296064398/,возможна,,
Очаково-Матвеевское,Нежинская ул.,5.0,Вторичка,31.0,,Во двор,Дизайнерский,,,,,,,,584445.0,свободная продажа,https://www.cian.ru/sale/flat/296082689/,,,
Раменки,Мосфильмовская ул.,13.0,Вторичка / Пентхаус,,2 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,,12.0,,,,572034.0,свободная продажа,https://www.cian.ru/sale/flat/303953615/,,,
Раменки,Мосфильмовская ул.,16.0,Вторичка,,3 раздельных,На улицу и двор,Евроремонт,Монолитный,,107.9,25.0,,,,595349.0,свободная продажа,https://www.cian.ru/sale/flat/292672492/,возможна,,
,,1.0,Вторичка,3.0,,На улицу и двор,,,,170.0,20.0,,,,499423.0,свободная продажа,https://www.cian.ru/sale/flat/307742239/,,,
Раменки,Минская ул.,15.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",Во двор,Дизайнерский,Монолитный,Наземная,165.2,26.6,,,,517928.0,свободная продажа,https://www.cian.ru/sale/flat/302707687/,возможна,,
Замоскворечье,ул. Малая Ордынка,1.0,Вторичка,,,На улицу и двор,Косметический,,Наземная,170.0,30.0,,,,507874.0,свободная продажа,https://www.cian.ru/sale/flat/297549010/,возможна,,
Пресненский,наб. Пресненская,4.0,Вторичка / Апартаменты,3.0,1 совмещенный,На улицу,Евроремонт,Монолитный,,,,,,,600000.0,свободная продажа,https://www.cian.ru/sale/flat/300472855/,возможна,,
Пресненский,наб. Пресненская,4.0,Вторичка / Апартаменты,31.0,"1 совмещенный, 1 раздельный",На улицу,Дизайнерский,Монолитный,,,22.0,,,,599099.0,свободная продажа,https://www.cian.ru/sale/flat/305595014/,возможна,,
Пресненский,наб. Пресненская,4.0,Вторичка / Апартаменты,3.0,"2 совмещенных, 1 раздельный",,Дизайнерский,Монолитный,,80.0,50.0,,,,689848.0,свободная продажа,https://www.cian.ru/sale/flat/298335543/,,,
Пресненский,наб. Пресненская,4.0,Вторичка / Апартаменты,3.0,1 совмещенный,На улицу,Дизайнерский,Монолитный,,,,,,,600000.0,свободная продажа,https://www.cian.ru/sale/flat/303350361/,возможна,,
Пресненский,Большой Тишинский пер.,15.0,Вторичка,,"3 совмещенных, 1 раздельный",Во двор,Без ремонта,Монолитно-кирпичный,,,20.0,,,,618206.0,свободная продажа,https://www.cian.ru/sale/flat/305598476/,возможна,,
Пресненский,Большой Тишинский пер.,15.0,Вторичка,31.0,,На улицу и двор,Без ремонта,Монолитно-кирпичный,Подземная,126.0,40.0,,,,618206.0,свободная продажа,https://www.cian.ru/sale/flat/303627117/,возможна,,
Можайский,Можайское ш.,6.0,Вторичка,28.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитно-кирпичный,Подземная,117.0,14.0,,,,641119.0,свободная продажа,https://www.cian.ru/sale/flat/306683231/,возможна,,
Можайский,Можайское ш.,6.0,Вторичка,,3 раздельных,,,Монолитно-кирпичный,,,,,,,606391.0,свободная продажа,https://www.cian.ru/sale/flat/296319626/,,,
Ломоносовский,ул. Архитектора Власова,12.0,Вторичка,3.0,3 совмещенных,На улицу и двор,Без ремонта,Монолитный,,,,,,,720000.0,свободная продажа,https://www.cian.ru/sale/flat/299153858/,возможна,,
Раменки,ул. Сергея Бондарчука,12.0,Новостройка,365.0,1 совмещенный,На улицу и двор,,Монолитный,Подземная,101.3,24.6,2023.0,Не сдан,Без отделки,778538.0,переуступка,https://www.cian.ru/sale/flat/304677152/,,,
Раменки,Мичуринский просп.,16.0,Вторичка,3.0,2 совмещенных,Во двор,Дизайнерский,Кирпичный,Подземная,137.0,,,,,750000.0,альтернатива,https://www.cian.ru/sale/flat/298729566/,возможна,,
Ломоносовский,ул. Архитектора Власова,12.0,Вторичка,3.0,3 совмещенных,,Без ремонта,Монолитный,Подземная,,,,,,750000.0,свободная продажа,https://www.cian.ru/sale/flat/299163101/,возможна,,
Тверской,Тверская ул.,3.0,Вторичка,37.0,,,Евроремонт,Монолитный,Подземная,,18.8,,,,783620.0,свободная продажа,https://www.cian.ru/sale/flat/307296323/,возможна,,
,,10.0,Вторичка,31.0,4 совмещенных,Во двор,Без ремонта,Монолитный,Подземная,150.0,22.0,,,,673478.0,свободная продажа,https://www.cian.ru/sale/flat/307581472/,,,
Хорошевский,Чапаевский пер.,10.0,Вторичка,315.0,3 совмещенных,Во двор,Дизайнерский,Монолитно-кирпичный,Подземная,,,,,,861111.0,свободная продажа,https://www.cian.ru/sale/flat/289418813/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,31.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,,20.0,,,,712092.0,свободная продажа,https://www.cian.ru/sale/flat/279618223/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,2 совмещенных,,Евроремонт,Монолитно-кирпичный,Подземная,130.0,20.0,,,,705619.0,свободная продажа,https://www.cian.ru/sale/flat/303858561/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,2 совмещенных,,Евроремонт,Монолитно-кирпичный,Подземная,160.0,20.0,,,,712092.0,свободная продажа,https://www.cian.ru/sale/flat/305052761/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Кирпичный,Подземная,,20.0,,,,726787.0,свободная продажа,https://www.cian.ru/sale/flat/306078009/,,,
Раменки,Минская ул.,16.0,Вторичка / Пентхаус,,,На улицу,Без ремонта,Монолитно-кирпичный,,320.0,,,,,400000.0,свободная продажа,https://www.cian.ru/sale/flat/282853126/,,,
Раменки,Мосфильмовская ул.,4.0,Вторичка,34.0,,На улицу,Без ремонта,Монолитный,Подземная,,,,,,692641.0,свободная продажа,https://www.cian.ru/sale/flat/307715916/,возможна,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,,,125.0,20.0,,,,727670.0,свободная продажа,https://www.cian.ru/sale/flat/307672286/,,,
Раменки,Мосфильмовская ул.,17.0,Вторичка,,2 совмещенных,Во двор,Евроремонт,Монолитный,,195.0,20.0,,,,749720.0,свободная продажа,https://www.cian.ru/sale/flat/302247943/,,,
Раменки,Мосфильмовская ул.,16.0,Вторичка,,1 совмещенный,Во двор,Дизайнерский,Монолитный,,94.0,28.0,,,,783848.0,свободная продажа,https://www.cian.ru/sale/flat/301790620/,возможна,,
Красносельский,ул. Сретенка,3.0,Вторичка,36.0,"9 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,,,155.3,29.3,,,,673087.0,свободная продажа,https://www.cian.ru/sale/flat/308111394/,возможна,,
,,8.0,Вторичка,,3 раздельных,Во двор,Без ремонта,Монолитный,Подземная,105.0,20.0,,,,891534.0,свободная продажа,https://www.cian.ru/sale/flat/300074511/,,,
Арбат,Гоголевский бул.,5.0,Вторичка,,"2 совмещенных, 2 раздельных",На улицу и двор,Евроремонт,Монолитный,Подземная,,15.0,,,,899471.0,свободная продажа,https://www.cian.ru/sale/flat/304623969/,,,
Хамовники,7-й Ростовский пер.,7.0,Вторичка,3.0,3 совмещенных,На улицу и двор,Евроремонт,Монолитный,Подземная,111.0,17.0,,,,858586.0,свободная продажа,https://www.cian.ru/sale/flat/307843723/,возможна,,
Арбат,Гоголевский бул.,5.0,Вторичка,4.0,2 совмещенных,На улицу и двор,Евроремонт,Монолитный,Подземная,110.0,14.0,,,,944444.0,свободная продажа,https://www.cian.ru/sale/flat/303115637/,возможна,,
