area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Арбат,Крестовоздвиженский пер.,4.0,Новостройка,435.0,"4 совмещенных, 1 раздельный",На улицу и двор,Предчистовая,Монолитно-кирпичный,Подземная,86.2,55.8,2026.0,Не сдан,"Предчистовая, чистовая",3100000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/308088585/,возможна,,
,,10.0,Вторичка / Апартаменты,31.0,4 совмещенных,На улицу,Дизайнерский,Монолитный,,,,,,,1764291.0,свободная продажа,https://www.cian.ru/sale/flat/299477912/,возможна,,
Хамовники,Погодинская ул.,14.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",На улицу,Дизайнерский,Монолитно-кирпичный,Подземная,96.0,23.0,,,,2608696.0,свободная продажа,https://www.cian.ru/sale/flat/308230875/,возможна,,
Хамовники,пер. Хилков,6.0,Вторичка,32.0,3 совмещенных,На улицу,Евроремонт,Кирпичный,Подземная,185.0,25.0,,,,1843911.0,свободная продажа,https://www.cian.ru/sale/flat/307701788/,возможна,,
Пресненский,Шведский туп.,5.0,Вторичка,35.0,3 совмещенных,На улицу и двор,Дизайнерский,,,,20.0,,,,1533019.0,свободная продажа,https://www.cian.ru/sale/flat/297946122/,,,
Фили-Давыдково,Давыдковская ул.,9.0,Вторичка / Пентхаус,,3 совмещенных,На улицу и двор,Дизайнерский,,Подземная,150.0,15.0,,,,521429.0,свободная продажа,https://www.cian.ru/sale/flat/302997502/,,,
Хорошевский,Чапаевский пер.,10.0,Вторичка,31.0,2 совмещенных,На улицу и двор,Дизайнерский,Монолитно-кирпичный,Подземная,,15.0,,,,1131930.0,свободная продажа,https://www.cian.ru/sale/flat/300891173/,,,
Таганский,Тессинский пер.,14.0,Новостройка,32.0,,,Без отделки,Монолитно-кирпичный,Подземная,,,2023.0,Сдан,"Без отделки, черновая",1578000.0,свободная продажа,https://www.cian.ru/sale/flat/294775310/,,7.6,
Тверской,Сущевская ул.,6.0,Вторичка / Пентхаус,32.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,140.0,20.0,,,,548628.0,свободная продажа,https://www.cian.ru/sale/flat/305527549/,возможна,,
Ростокино,ул. Бажова,12.0,Вторичка / Пентхаус,3.0,3 совмещенных,На улицу,Косметический,Монолитный,,,,,,,557289.0,свободная продажа,https://www.cian.ru/sale/flat/299637836/,возможна,,
Хамовники,Фрунзенская наб.,10.0,Новостройка,355.0,"3 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитно-кирпичный,Подземная,77.6,57.5,2027.0,Не сдан,Без отделки,4147543.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306341843/,,,
,,10.0,Вторичка / Апартаменты,,4 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,196.0,20.0,,,,1766784.0,свободная продажа,https://www.cian.ru/sale/flat/300119085/,,,
